Month,Kiln APR (%),Kiln Rank,Total Operators,Percentile,Network Mean APR (%),Network Median APR (%),Top 10 Operators Mean APR (%),Top 10 Operators Median APR (%),Diff vs Mean (bps),Diff vs Median (bps),Extra Rewards vs Mean (ETH),Extra Rewards vs Median (ETH),Extra Rewards vs Top 10 Mean (ETH),Extra Rewards vs Top 10 Median (ETH),Z-Score,Days
2023-01,5.658364407787843,17,30,46.666666666666664,5.749628073027378,5.676664592587712,6.103464073358516,5.9844100179878605,-9.126366523953545,-1.8300184799868724,-18.329944609074122,-3.675519417689361,-89.3964996257189,-65.48496555898926,-0.24196353012024163,31
2023-02,5.780635640734221,12,30,63.33333333333333,5.798062962920639,5.685526142763475,6.130290035014693,6.007632659138151,-1.7427322186417542,9.510949797074606,-3.161478581315962,17.25374888338128,-63.430564177109204,-41.17937363124707,-0.051876709378143135,28
2023-03,6.209677237479782,10,30,70.0,6.203643891513337,6.082869081372498,6.7435111957245315,6.256068843243173,0.6033345966444115,12.680815610728382,1.2117735692735843,25.46891439571957,-107.21842980321291,-9.317569722156989,0.008141224006876266,31
2023-04,5.346242950474749,15,30,53.333333333333336,5.535843284358473,5.321120776597178,5.970212692524427,5.5735098538438335,-18.960033388372434,2.512217387757032,-36.85207147136147,4.882924667316023,-121.27920378074633,-44.17321422634615,-0.2704934366377629,30
2023-05,6.8319909116781705,15,30,53.333333333333336,6.753497556280966,6.821837996982334,6.973624128507236,6.918201856450105,7.849335539720503,1.0152914695836512,15.765078608609931,2.0391725831620273,-28.446468947612527,-17.3151257756077,0.3015901129610311,31
2023-06,5.0840709255404954,9,30,73.33333333333333,5.040931420425246,5.020214912506376,5.203796686112224,5.167359072412538,4.313950511524861,6.385601303411856,8.407631891835516,12.44515555375131,-23.33383566102423,-16.232362378346878,0.2306629826111749,30
2023-07,4.847546105937382,22,30,30.0,4.949339362367577,4.9300033280232265,5.095037618896866,5.076539411626285,-10.179325643019446,-8.245722208584452,-22.01206381152466,-17.830784650448415,-53.51826994365593,-49.51816489624483,-0.6033848383178487,31
2023-08,4.7581897014017445,12,30,63.33333333333333,4.712983978612534,4.670922889007299,4.969026288882913,4.860109685128054,4.520572278921067,8.72668123944459,10.542301521863555,20.35125184047991,-49.168617155652136,-23.768477379652243,0.1854624162508041,31
2023-09,4.105778473341269,21,29,31.03448275862069,4.212442731152502,4.215576106780787,4.324318758959739,4.302745440273759,-10.666425781123353,-10.979763343951788,-26.481818750712968,-27.259750245000166,-54.25757748879089,-48.90151232678921,-0.8924354882178019,30
2023-10,4.075741382906597,6,30,83.33333333333334,4.04790856352805,3.9662586222587954,4.313149677027053,4.112536454563529,2.7832819378546816,10.948276064780133,7.03125646371793,27.658044914554683,-59.975188997969994,-9.295342376280422,0.0850744334952658,31
2023-11,4.376470693708817,6,36,86.11111111111111,4.22131828332604,4.186330769749004,4.403103449628595,4.360844579045248,15.515241038277713,19.01399239598131,36.13151926385581,44.279327072218585,-6.202171988117764,3.638971908931607,0.7935734715570186,30
2023-12,4.4329545237573456,5,35,88.57142857142857,4.151126202536651,4.0970533023459215,4.440519781483983,4.346572568990234,28.182832122069442,33.59012214114249,67.47300482685021,80.41869119282013,-1.811211410176412,20.680852888414815,1.2103533863121136,31
2024-01,3.947338335200723,10,35,74.28571428571429,3.941647643619283,3.8327137611188222,4.2604670779292055,4.141206838974447,0.5690691581439894,11.462457408190074,1.3624182938021048,27.44246712610313,-74.96669276541473,-46.414393110816235,0.018405125776415163,31
2024-02,3.90383156536593,10,36,75.0,3.838006626519616,3.8135235010737873,3.999972573908666,3.946364055459544,6.582493884631363,9.03080642921425,14.804111703993112,20.31039747220579,-21.622233985272143,-9.565610624644114,0.3860949263866659,29
2024-03,3.9534759018958585,5,36,88.88888888888889,3.814554833810842,3.7803721205695378,3.957585011028939,3.951877836249794,13.892106808501698,17.310378132632113,33.92858969487388,42.27700846395492,-1.003564683957253,0.39029439060766635,1.276184080619195,31
2024-04,4.059303695860939,3,36,94.44444444444444,3.654539093691466,3.6426757544465396,3.8781372483837036,3.7968795555741535,40.476460216947316,41.66279414143999,93.52674982451026,96.2679469442599,41.8611432891663,60.63691534527531,2.220804266969054,30
2024-05,3.527244487865281,7,36,83.33333333333334,3.4495278821511453,3.4094417659809055,3.616785300001647,3.555258679322068,7.771660571413569,11.780272188437538,18.48103438948636,28.01352599376646,-21.292834564103106,-6.661783938569094,0.42115324608604804,31
2024-06,3.6299221764043996,3,36,94.44444444444444,3.4804778708795734,3.483095807733996,3.5863476729525967,3.5910150045525837,14.944430552482624,14.682636867040314,34.716149646560154,34.107998755268426,10.122426393530523,9.038197846271837,1.2557435617483979,30
2024-07,3.4218922767527333,10,36,75.0,3.3770213139927376,3.3547160116527754,3.532722493873032,3.4819139731395636,4.4870962759995665,6.7176265099957995,10.607387414415774,15.880307110415583,-26.19999612013983,-14.188984316003397,0.35529112476541624,31
2024-08,3.3738794369825102,20,36,47.22222222222222,3.4889940805086326,3.4010302156270025,3.8353272053273115,3.6869958360323625,-11.511464352612217,-2.715077864449203,-26.864339051775485,-6.3361853946915465,-107.68820476507692,-73.07206841011033,-0.3945520636980361,31
2024-09,3.3664731553125113,19,36,50.0,3.3894864060557888,3.372768073757345,3.538769389254162,3.4741305072161097,-2.301325074327773,-0.6294918444833819,-5.134126357821067,-1.4043607775575038,-38.438317380760644,-24.017747609295792,-0.17940271767691418,30
