date,month,operator_name,operator_id,reward_value,month_mean,month_std,threshold,std_above_mean
2023-01-11,2023-01,Blockscape,5,71.26690714003497,13.979408675145057,15.453812797413589,44.88703426997223,3.707013875208698
2023-01-12,2023-01,Kiln,8,21.489392006010682,10.509733529330303,4.370871805638552,19.251477140607406,2.5120065206479634
2023-01-14,2023-01,Chorus One,3,40.191706647497426,10.141546558445652,6.792713667903455,23.726973894252563,4.423881464493798
2023-01-14,2023-01,Kiln,8,19.67002433832152,10.509733529330303,4.370871805638552,19.251477140607406,2.095758287208098
2023-01-17,2023-01,P2P.org,2,33.24758835113834,11.893363419218348,6.67235492323768,25.238073265693707,3.2004030327508586
2023-01-18,2023-01,Blockscape,5,50.4121507391338,13.979408675145057,15.453812797413589,44.88703426997223,2.357524485484014
2023-01-18,2023-01,Kiln,8,19.615228658710066,10.509733529330303,4.370871805638552,19.251477140607406,2.083221731104859
2023-01-24,2023-01,Attestant (BVI) Limited,29,9.132388324232334,1.2556955938268035,1.7480166437136442,4.751728881254092,4.506074217732603
2023-01-26,2023-01,Blockscape,5,53.72295320000432,13.979408675145057,15.453812797413589,44.88703426997223,2.571763036466373
2023-01-26,2023-01,Staking Facilities,0,30.216243064643248,8.960952896000228,4.564689607784675,18.090332111569577,4.656459035548442
2023-01-29,2023-01,Attestant (BVI) Limited,29,5.29608044193778,1.2556955938268035,1.7480166437136442,4.751728881254092,2.3114109711948845
2023-01-31,2023-01,P2P.org,2,26.40667088805886,11.893363419218348,6.67235492323768,25.238073265693707,2.175140206989784
2023-02-03,2023-02,P2P.org,2,19.147396657292237,10.600888827833916,3.433406801300373,17.467702430434663,2.489220859649199
2023-02-08,2023-02,Staking Facilities,0,19.555964694113012,10.53768293449772,4.111172398560871,18.760027731619463,2.193603401981432
2023-02-12,2023-02,Chorus One,3,40.169916018806106,12.741675567753633,10.598424244296494,33.93852405634662,2.587954569360902
2023-02-14,2023-02,Attestant (BVI) Limited,29,12.811187617335246,3.9169664613867723,2.3940064465351933,8.704979354457159,3.7152035111772297
2023-02-14,2023-02,Blockscape,5,30.044302330622653,13.242000170306406,7.770190960075848,28.7823820904581,2.1624053059504513
2023-02-14,2023-02,Chorus One,3,57.01711082342424,12.741675567753633,10.598424244296494,33.93852405634662,4.177548872842799
2023-02-16,2023-02,Staking Facilities,0,18.76403219912481,10.53768293449772,4.111172398560871,18.760027731619463,2.0009740451426334
2023-02-21,2023-02,Attestant (BVI) Limited,29,9.256254446188052,3.9169664613867723,2.3940064465351933,8.704979354457159,2.2302730189088438
2023-02-21,2023-02,Kiln,8,23.4968414432413,11.506635738896973,3.9660386269358257,19.438712992768625,3.023219598243802
2023-02-22,2023-02,Blockscape,5,35.09459900507113,13.242000170306406,7.770190960075848,28.7823820904581,2.812363164180384
2023-03-07,2023-03,P2P.org,2,69.71548833187468,16.16780485469423,17.60085011564145,51.369505085977124,3.0423350648042806
2023-03-11,2023-03,Attestant (BVI) Limited,29,65.56115940498776,9.568712113104812,11.707817889448565,32.98434789200194,4.782483620824426
2023-03-11,2023-03,Blockscape,5,112.81234758000478,15.406168980295845,20.325194820611905,56.056558621519656,4.792385975111477
2023-03-11,2023-03,Chorus One,3,92.1445738530988,13.549091072275985,17.998468805483874,49.54602868324373,4.366787176744497
2023-03-11,2023-03,Kiln,8,58.29956182746883,15.017715192258311,14.97667373165816,44.97106265557463,2.8899505598309188
2023-03-11,2023-03,P2P.org,2,84.14080850812873,16.16780485469423,17.60085011564145,51.369505085977124,3.8619159419480846
2023-03-12,2023-03,Kiln,8,58.53877667919451,15.017715192258311,14.97667373165816,44.97106265557463,2.9059230551934925
2023-03-13,2023-03,Chorus One,3,67.13999471759912,13.549091072275985,17.998468805483874,49.54602868324373,2.9775257120202783
2023-03-13,2023-03,Kiln,8,55.99000618122788,15.017715192258311,14.97667373165816,44.97106265557463,2.735740373535752
2023-03-20,2023-03,Staking Facilities,0,702.5381674300181,36.556077209558595,122.94981576842403,282.4557087464067,5.416698561589037
2023-04-09,2023-04,P2P.org,2,695.5562365087828,33.24637432779274,123.10407327875856,279.4545208853099,5.3800808091966745
2023-04-09,2023-04,Staking Facilities,0,114.38159171650538,16.579409372058812,20.697665934238618,57.97474124053605,4.725275915419026
2023-04-13,2023-04,Kiln,8,39.09816439371271,9.92176827009229,6.87411967241014,23.67000761491257,4.2443829194191
2023-04-18,2023-04,Attestant (BVI) Limited,29,18.598399676913157,7.255593565313196,4.138928201252663,15.533449967818523,2.7405177282773385
2023-04-19,2023-04,Attestant (BVI) Limited,29,17.35734041505232,7.255593565313196,4.138928201252663,15.533449967818523,2.440667331866687
2023-04-19,2023-04,Blockscape,5,38.12176886967897,10.298435513885348,6.869199696611307,24.036834907107963,4.0504475899163825
2023-04-19,2023-04,Chorus One,3,18.766314823194165,8.888741911518228,3.905629486780365,16.700000885078957,2.5290604101359824
2023-04-20,2023-04,Blockscape,5,25.792573075319982,10.298435513885348,6.869199696611307,24.036834907107963,2.2555957383329757
2023-04-20,2023-04,Chorus One,3,18.516298816944886,8.888741911518228,3.905629486780365,16.700000885078957,2.4650461437813465
2023-05-05,2023-05,Blockscape,5,38.13783474169927,18.004923015941873,8.57573907329845,35.15640116253877,2.347659082637383
2023-05-05,2023-05,Chorus One,3,32.97526454879149,17.761913151715135,7.533022295044972,32.82795774180508,2.0195548083115735
2023-05-05,2023-05,Staking Facilities,0,52.159122798547735,19.817541129992694,9.782683060687312,39.382907251367314,3.306003216900986
