Month,Kiln APR (%),Kiln Rank,Total Operators,Percentile,Network Mean APR (%),Network Median APR (%),Diff vs Mean (bps),Diff vs Median (bps),Extra Rewards vs Mean (ETH),Extra Rewards vs Median (ETH),Z-Score,Days
2023-01,1.460934320302864,3,6,66.66666666666666,1.4403446103269755,1.4217834177451603,2.058970997588852,3.9150902557703695,3.7351651841848565,7.102338417306347,0.08655773588345077,28
2023-02,1.7074730323250888,2,6,83.33333333333334,1.5956291875591535,1.5871449642293767,11.184384476593534,12.032806809571216,19.564889728128946,21.049038401873915,0.5650918281826379,27
2023-03,1.613593139699559,5,6,33.33333333333333,1.8420175493984872,1.8484323254322583,-22.842440969892788,-23.483918573269925,-41.43831570840737,-42.60201583501162,-0.9490099055822394,28
2023-04,1.3761101405937284,3,6,66.66666666666666,1.552512200470599,1.3725362479763648,-17.640205987687047,0.35738926173636487,-33.14386888961063,0.671492319410151,-0.6587232436512208,29
2023-05,2.8962053453115693,2,6,83.33333333333334,2.6623475904787486,2.600492038735351,23.38577548328207,29.571330657621846,46.00044826766991,58.16760137351597,1.1276018724952273,30
2023-06,1.1482657570404438,4,6,50.0,1.1014487861302849,1.154473289607477,4.6816970910158915,-0.6207532567033269,9.775773453689311,-1.2961845010897073,0.4296162413246695,29
2023-07,1.1808963608105845,4,6,50.0,1.1914607132292014,1.2458158298597133,-1.0564352418616918,-6.491946904912879,-2.422718019778099,-14.887951600571668,-0.10629125880830823,30
2023-08,1.161090792995293,4,6,50.0,1.167198946451003,1.1792753566436176,-0.6108153455710273,-1.8184563648324796,-1.4409271226289952,-4.2897794176321264,-0.07791736731115133,29
2023-09,0.8471529470406629,2,6,83.33333333333334,0.8337950196345842,0.8229335763291011,1.335792740607862,2.421937071156177,3.468687044803526,6.289105702300728,0.218301367710428,30
2023-10,0.8503071701056849,3,6,66.66666666666666,0.8900387765235542,0.8164554326981537,-3.973160641786936,3.3851737407531237,-9.401826093805694,8.010452553351675,-0.3186786960771387,29
2023-11,1.2635711107252336,3,9,77.77777777777779,1.146243897350968,1.0429707922716043,11.732721337426554,22.06003184536294,26.405553350909337,49.648102180466196,0.5664974298849422,29
2023-12,1.0926558446286345,2,9,88.88888888888889,0.9837892922618736,0.9359853227033408,10.8866552366761,15.667052192529386,23.54161347889653,33.87888006480447,0.7570170450147349,28
2024-01,0.8407540209644244,2,9,88.88888888888889,0.7408241194789723,0.6861431426329383,9.992990148545216,15.461087833148618,23.152635673915995,35.821603784470646,1.1529012382411126,30
2024-02,0.8975892138959357,2,9,88.88888888888889,0.7877735435165573,0.7695121682324009,10.981567037937848,12.80770456635348,23.040470932024952,26.871897585068577,0.6915456985170231,27
2024-03,0.9778422111981319,2,9,88.88888888888889,0.8806894595538418,0.8811830844744813,9.715275164429004,9.665912672365048,22.965568982221697,22.848882867063608,0.9012226552695403,30
2024-04,0.8141697497854292,1,9,100.0,0.6296593518914522,0.610781864801631,18.4510397893977,20.338788498379824,39.80183488193838,43.87400985262338,2.9114376998560987,28
2024-05,0.5893461737203971,2,9,88.88888888888889,0.5030245964871859,0.4967204416620033,8.63215772332112,9.262573205839377,19.23976936928861,20.6448697948417,1.331739373925896,29
2024-06,0.6666288170155098,1,9,100.0,0.5507101567631657,0.5476662809910459,11.591866025234404,11.896253602446393,26.03102463505176,26.714566051400112,1.7134352613793356,29
2024-07,0.5681549970590096,2,9,88.88888888888889,0.4753958584759854,0.4988219808388901,9.27591385830242,6.93330162201195,21.21914343069547,15.860294070547694,1.1938317004955938,30
2024-08,0.49706034523615306,3,9,77.77777777777779,0.39390828255642374,0.3845486458764205,10.31520626797293,11.251169935973257,23.29308096902359,25.406608991287747,1.111748794106235,30
2024-09,0.562385903095669,1,9,100.0,0.5088950591782254,0.5348697195875854,5.349084391744362,2.7516183508083554,11.53643625529085,5.934449221250241,1.0023169128159466,29
