date,month,operator_name,operator_id,reward_value,el_reward_value,balance,rank_in_month,percentile,threshold,above_threshold_eth,above_threshold_pct,outlier_method,month_mean,month_median,month_std,std_above_mean,days_in_month
2023-04-19,2023-04,Blockscape,5,38.1218,38.1218,236512,1,100.0,24.0368,14.0849,58.5973,std_el_based,10.2984,8.8029,6.8692,4.0504,30
2023-04-19,2023-04,Chorus One,3,18.7663,18.7663,224000,1,100.0,16.7,2.0663,12.3731,std_el_based,8.8887,8.4219,3.9056,2.5291,30
2023-04-20,2023-04,Blockscape,5,25.7926,25.7926,236512,2,96.6667,24.0368,1.7557,7.3044,std_el_based,10.2984,8.8029,6.8692,2.2556,30
2023-04-20,2023-04,Chorus One,3,18.5163,18.5163,224000,2,96.6667,16.7,1.8163,10.876,std_el_based,8.8887,8.4219,3.9056,2.465,30
2023-05-05,2023-05,Blockscape,5,38.1378,38.1378,236512,2,96.7742,35.1564,2.9814,8.4805,std_el_based,18.0049,15.3903,8.5757,2.3477,31
2023-05-05,2023-05,Chorus One,3,32.9753,32.9753,224000,2,96.7742,32.828,0.1473,0.4487,std_el_based,17.7619,16.757,7.533,2.0196,31
2023-05-05,2023-05,Staking Facilities,0,52.1591,52.1591,236512,1,100.0,39.3829,12.7762,32.441,std_el_based,19.8175,15.8522,9.7827,3.306,31
2023-05-06,2023-05,Blockscape,5,43.1491,43.1491,236512,1,100.0,35.1564,7.9927,22.7346,std_el_based,18.0049,15.3903,8.5757,2.932,31
2023-05-06,2023-05,P2P.org,2,46.3481,46.3481,236512,1,100.0,37.0941,9.254,24.9474,std_el_based,20.1206,17.6886,8.4868,3.0904,31
2023-05-08,2023-05,Kiln,8,42.2222,42.2222,236480,1,100.0,38.3686,3.8536,10.0437,std_el_based,19.7391,16.2577,9.3147,2.4137,31
2023-05-11,2023-05,Chorus One,3,38.0272,38.0272,224000,1,100.0,32.828,5.1993,15.838,std_el_based,17.7619,16.757,7.533,2.6902,31
2023-05-12,2023-05,Attestant (BVI) Limited,29,79.5452,79.5452,221888,1,100.0,41.8092,37.736,90.2577,std_el_based,16.6942,13.3723,12.5575,5.0051,31
2023-06-02,2023-06,Staking Facilities,0,22.4844,22.4844,256064,1,100.0,16.4079,6.0765,37.0338,std_el_based,8.9036,8.1764,3.7522,3.6195,30
2023-06-03,2023-06,Blockscape,5,18.218,18.218,256256,1,100.0,14.3672,3.8509,26.8032,std_el_based,7.0744,6.1001,3.6464,3.0561,30
2023-06-06,2023-06,Chorus One,3,28.4701,28.4701,258176,2,96.6667,26.9888,1.4813,5.4886,std_el_based,10.0666,7.9183,8.4611,2.1751,30
2023-06-10,2023-06,Attestant (BVI) Limited,29,63.9666,63.9666,260928,1,100.0,30.9795,32.9872,106.4806,std_el_based,10.2867,7.9303,10.3464,5.1883,30
2023-06-10,2023-06,P2P.org,2,20.2194,20.2194,249600,1,100.0,15.893,4.3263,27.2217,std_el_based,8.586,6.8534,3.6535,3.1842,30
2023-06-14,2023-06,Kiln,8,37.0474,37.0474,261792,1,100.0,21.1135,15.9339,75.4675,std_el_based,9.2272,7.4698,5.9432,4.681,30
2023-06-27,2023-06,Chorus One,3,46.7406,46.7406,267648,1,100.0,26.9888,19.7518,73.1851,std_el_based,10.0666,7.9183,8.4611,4.3344,30
2023-06-30,2023-06,Blockscape,5,15.335,15.335,268416,2,96.6667,14.3672,0.9678,6.7361,std_el_based,7.0744,6.1001,3.6464,2.2654,30
2023-07-13,2023-07,Kiln,8,15.732,15.732,278144,1,100.0,15.4025,0.3295,2.139,std_el_based,9.2434,8.6254,3.0795,2.107,31
2023-07-18,2023-07,Attestant (BVI) Limited,29,25.1178,25.1178,280512,1,100.0,19.7056,5.4122,27.4652,std_el_based,10.3453,8.6146,4.6801,3.1564,31
2023-07-18,2023-07,P2P.org,2,15.4313,15.4313,280544,2,96.7742,14.2738,1.1575,8.1096,std_el_based,8.8347,8.5369,2.7195,2.4256,31
2023-07-20,2023-07,Blockscape,5,24.0674,24.0674,280768,1,100.0,16.5864,7.481,45.1035,std_el_based,8.9916,8.3071,3.7974,3.97,31
2023-07-20,2023-07,P2P.org,2,18.7632,18.7632,280768,1,100.0,14.2738,4.4894,31.4521,std_el_based,8.8347,8.5369,2.7195,3.6508,31
2023-07-24,2023-07,Blockscape,5,19.0667,19.0667,283136,2,96.7742,16.5864,2.4803,14.954,std_el_based,8.9916,8.3071,3.7974,2.6532,31
2023-07-28,2023-07,Attestant (BVI) Limited,29,19.7883,19.7883,287008,2,96.7742,19.7056,0.0828,0.42,std_el_based,10.3453,8.6146,4.6801,2.0177,31
2023-07-30,2023-07,Chorus One,3,88.2553,88.2553,288128,1,100.0,40.7115,47.5438,116.7825,std_el_based,12.2209,9.1218,14.2453,5.3375,31
2023-07-30,2023-07,Staking Facilities,0,52.3248,52.3248,268800,1,100.0,27.396,24.9288,90.9946,std_el_based,10.9635,9.3352,8.2162,5.0341,31
2023-08-03,2023-08,Chorus One,3,23.9567,23.9567,288128,2,96.7742,19.3264,4.6303,23.9584,std_el_based,9.5621,8.3522,4.8822,2.9484,31
2023-08-06,2023-08,Blockscape,5,20.3827,20.3827,288224,1,100.0,16.3034,4.0793,25.0211,std_el_based,9.7952,8.8365,3.2541,3.2536,31
2023-08-15,2023-08,P2P.org,2,22.1277,22.1277,294816,2,96.7742,21.007,1.1207,5.335,std_el_based,10.6091,8.7063,5.1989,2.2156,31
2023-08-17,2023-08,Kiln,8,28.9324,28.9324,295840,1,100.0,21.0708,7.8616,37.3106,std_el_based,10.5061,8.7562,5.2824,3.4883,31
2023-08-17,2023-08,Staking Facilities,0,199.6339,199.6339,268800,1,100.0,83.1799,116.454,140.0025,std_el_based,15.3038,8.2424,33.938,5.4314,31
2023-08-18,2023-08,Kiln,8,22.8522,22.8522,296384,2,96.7742,21.0708,1.7814,8.4543,std_el_based,10.5061,8.7562,5.2824,2.3372,31
2023-08-21,2023-08,Blockscape,5,17.011,17.011,300032,2,96.7742,16.3034,0.7076,4.3403,std_el_based,9.7952,8.8365,3.2541,2.2175,31
2023-08-25,2023-08,Attestant (BVI) Limited,29,24.0513,24.0513,304704,1,100.0,19.3429,4.7084,24.3416,std_el_based,10.6182,9.5453,4.3624,3.0793,31
2023-08-25,2023-08,P2P.org,2,28.7893,28.7893,304736,1,100.0,21.007,7.7823,37.0462,std_el_based,10.6091,8.7063,5.1989,3.4969,31
2023-08-29,2023-08,Chorus One,3,27.1909,27.1909,310016,1,100.0,19.3264,7.8645,40.6931,std_el_based,9.5621,8.3522,4.8822,3.6109,31
2023-09-09,2023-09,Staking Facilities,0,22.3006,22.3006,268800,1,100.0,15.6577,6.6428,42.4254,std_el_based,7.1847,5.8266,4.2365,3.568,30
2023-09-11,2023-09,Attestant (BVI) Limited,29,12.9462,12.9462,315872,1,100.0,11.0082,1.938,17.6054,std_el_based,6.7224,6.7684,2.1429,2.9044,30
2023-09-14,2023-09,Staking Facilities,0,21.2824,21.2824,268800,2,96.6667,15.6577,5.6247,35.923,std_el_based,7.1847,5.8266,4.2365,3.3277,30
2023-09-19,2023-09,P2P.org,2,28.3714,28.3714,317600,1,100.0,17.191,11.1804,65.0361,std_el_based,7.7777,6.2036,4.7067,4.3754,30
2023-09-20,2023-09,Chorus One,3,25.8935,25.8935,318240,1,100.0,18.122,7.7714,42.8838,std_el_based,8.7376,7.4044,4.6922,3.6562,30
2023-09-26,2023-09,Blockscape,5,33.0365,33.0365,318880,1,100.0,18.5652,14.4714,77.949,std_el_based,7.9722,6.3326,5.2965,4.7323,30
2023-10-02,2023-10,Attestant (BVI) Limited,29,19.7843,19.7843,318848,1,100.0,15.3689,4.4154,28.7294,std_el_based,7.5647,7.0424,3.9021,3.1315,31
2023-10-02,2023-10,P2P.org,2,52.2999,52.2999,316096,1,100.0,29.5026,22.7973,77.2722,std_el_based,10.3392,7.3253,9.5817,4.3793,31
2023-10-16,2023-10,Kiln,8,24.0335,24.0335,301248,1,100.0,16.8118,7.2217,42.9563,std_el_based,7.8222,6.2059,4.4948,3.6067,31
2023-10-16,2023-10,Staking Facilities,0,16.7071,16.7071,268800,1,100.0,12.9855,3.7216,28.6598,std_el_based,6.4332,5.9072,3.2761,3.136,31
2023-10-20,2023-10,Gateway.fm AS,35,0.1624,0.1624,3200,1,100.0,0.1362,0.0262,19.2278,std_el_based,0.0518,0.044,0.0422,2.6202,10
2023-10-21,2023-10,Chorus One,3,47.5843,47.5843,291136,1,100.0,26.5471,21.0372,79.2451,std_el_based,9.3401,6.0258,8.6035,4.4452,31
2023-10-23,2023-10,Staking Facilities,0,13.8036,13.8036,268800,2,96.7742,12.9855,0.8181,6.3002,std_el_based,6.4332,5.9072,3.2761,2.2497,31
2023-10-25,2023-10,ParaFi Technologies LLC,37,0.3277,0.3277,3200,1,100.0,0.3175,0.0102,3.1966,std_el_based,0.1153,0.0697,0.1011,2.1004,7
2023-10-28,2023-10,RockawayX Infra,38,0.3747,0.3747,3200,1,100.0,0.2687,0.106,39.4636,std_el_based,0.0736,0.0504,0.0975,3.087,11
2023-10-30,2023-10,Blockscape,5,12.0742,12.0742,290144,1,100.0,11.7179,0.3563,3.0405,std_el_based,6.4714,6.2304,2.6233,2.1358,31
2023-10-31,2023-10,Kiln,8,17.2427,17.2427,288000,2,96.7742,16.8118,0.4309,2.5631,std_el_based,7.8222,6.2059,4.4948,2.0959,31
2023-11-09,2023-11,Kiln,8,17.6151,17.6151,285376,1,100.0,15.7923,1.8228,11.5425,std_el_based,10.0664,9.3705,2.8629,2.6367,30
2023-11-13,2023-11,Blockscape,5,25.142,25.142,284256,1,100.0,16.271,8.8709,54.5196,std_el_based,8.6433,8.1613,3.8139,4.326,30
2023-11-13,2023-11,Staking Facilities,0,25.3362,25.3362,268800,1,100.0,19.9425,5.3937,27.0465,std_el_based,10.0343,8.4575,4.9541,3.0888,30
2023-11-14,2023-11,Attestant (BVI) Limited,29,19.1573,19.1573,320032,2,96.6667,18.5686,0.5887,3.1702,std_el_based,10.609,9.3619,3.9798,2.1479,30
2023-11-21,2023-11,Chorus One,3,94.7744,94.7744,283296,1,100.0,45.192,49.5824,109.7152,std_el_based,13.1898,8.9367,16.0011,5.0987,30
2023-11-22,2023-11,P2P.org,2,24.7849,24.7849,286208,1,100.0,17.0294,7.7555,45.5417,std_el_based,8.8452,8.0972,4.0921,3.8952,30
