Month,Kiln APR (%),Kiln Rank,Total Operators,Percentile,Network Mean APR (%),Network Median APR (%),Diff vs Mean (bps),Diff vs Median (bps),Extra Rewards vs Mean (ETH),Extra Rewards vs Median (ETH),Z-Score,Days
2023-01,5.658364407787843,4,6,50.0,5.801960355148073,5.718493382392964,-14.359594736023038,-6.012897460512118,-28.84067557764838,-12.076665680909342,-0.3541673538923915,31
2023-02,5.780635640734221,3,6,66.66666666666666,5.78427681393342,5.64303175896138,-0.3641173199199488,13.760388177284158,-0.6605427361125328,24.962625943177116,-0.010624442750486367,28
2023-03,6.209677237479782,2,6,83.33333333333334,5.9654670684420905,6.027730816473607,24.421016903769175,18.194642100617525,49.04864230123382,36.54321585823974,0.8822227343568544,31
2023-04,5.346242950474749,4,6,50.0,5.454301746530592,5.420232995992545,-10.805879605584392,-7.399004551779595,-21.00307733530354,-14.381232299217855,-0.4903375105900583,30
2023-05,6.753457536682656,3,6,66.66666666666666,6.515583475155963,6.473768040463224,23.78740615266925,27.968949621943185,48.33162981265277,56.82775627996773,0.8747702895722504,31
2023-06,4.587701594129472,2,6,83.33333333333334,4.505297985489301,4.565263946599689,8.240360864016985,2.2437647529782723,17.797590092564835,4.846099096464276,0.6812420685646715,30
2023-07,4.423918741269568,4,6,50.0,4.574907589645991,4.563324698912917,-15.098884837642379,-13.940595764334873,-35.77679521275128,-33.03223020556757,-0.7207824246214888,31
2023-08,4.401122378416898,4,6,50.0,4.414597832320029,4.4346951616065065,-1.3475453903130652,-3.357278318960877,-3.3975333346402383,-8.464623963193212,-0.12514196498300742,31
2023-09,3.9255305995550827,4,6,50.0,4.009643252597438,4.015224961191008,-8.4112653042355,-8.969436163592457,-21.841746929939355,-23.29116342231922,-0.6701253888852831,30
2023-10,4.073281722938555,3,6,66.66666666666666,4.107409758703579,3.9981753031729794,-3.412803576502352,7.510641976557555,-8.626789509185443,18.985190901908865,-0.1922734009267355,31
2023-11,4.376470693708817,3,9,77.77777777777779,4.334636640473416,4.204459161275396,4.1834053235401125,17.201153243342134,9.742213457277067,40.05763096035943,0.12544575892998122,30
2023-12,4.4329545237573456,1,9,100.0,4.124163733966296,4.074925910910259,30.879078979104968,35.80286128470875,73.92813596523841,85.71624816891595,1.8114792277206033,31
2024-01,3.947338335200723,3,9,77.77777777777779,3.904431646115445,3.81218954348392,4.290668908527792,13.514879171680274,10.272364492027279,32.35620549543694,0.2497301166639722,31
2024-02,3.897678008664481,3,9,77.77777777777779,3.793003348105088,3.8113327304087576,10.467466055939303,8.63452782557235,23.578629752553685,19.449820386259997,0.529762499883404,29
2024-03,3.9528231853231524,4,9,66.66666666666666,3.8837320921002574,3.896564776122328,6.909109322289497,5.625840920082462,16.8768529479566,13.742218495591239,0.7590572384183156,31
2024-04,4.059303695860939,1,9,100.0,3.5841159394561823,3.5601569087008675,47.518775640475674,49.914678716007145,109.79904412276159,115.33512673344362,3.0185051918225407,30
2024-05,3.5195628276664963,2,9,88.88888888888889,3.437327573275639,3.451792789927197,8.223525439085694,6.7770037739298825,19.598251753932985,16.150910832908988,0.3517888574287218,31
2024-06,3.629497543998858,2,9,88.88888888888889,3.4475027188900014,3.4377896705990563,18.199482510885684,19.170787339980176,42.28263334035908,44.53925387480326,1.592943267085123,30
2024-07,3.4218922767527333,3,9,77.77777777777779,3.3625224268138623,3.3749005416466638,5.9369849938870765,4.699173510606947,14.034889387280696,11.108732883932642,0.6904686674236266,31
2024-08,3.3738794369825102,4,9,66.66666666666666,3.396130851596547,3.3365380855844147,-2.2251414614036373,3.73413513980958,-5.1928193343834455,8.714362429331574,-0.14645466474800534,31
2024-09,3.3664070090733316,4,9,66.66666666666666,3.3636335995249254,3.3522932516555164,0.2773409548405964,1.4113757417814898,0.6187441749935012,3.148761492713373,0.04226057411354699,30
2024-10,3.410391775333841,3,9,77.77777777777779,3.3416402630617528,3.339533003566533,6.875151227208817,7.085877176730773,15.631313692532755,16.110419287635686,0.8806337881852965,31
2024-11,3.447430257914615,2,9,88.88888888888889,3.372389698644487,3.34225180722128,7.504055927012865,10.517845069333495,16.44546956487177,23.05032140726796,0.5777657172415201,30
2024-12,3.3465721522313947,1,9,100.0,3.2257672419626315,3.2321626885778736,12.08049102687632,11.440946365352117,27.062206300978712,25.629525333760363,2.3701213512147126,31
2025-01,3.5745644085112014,1,9,100.0,3.2871676740953806,3.299054493829833,28.73967344158207,27.550991468136832,63.1185589931569,60.507955451766236,5.349712927193958,31
2025-02,3.2519016131990943,8,9,22.22222222222222,3.361860316690643,3.3660285786094604,-10.995870349154863,-11.412696541036604,-21.34729231883268,-22.15651526178319,-0.8223343847062766,28
2025-03,3.300634752030877,7,9,33.33333333333333,3.345047148861994,3.3506964251927696,-4.44123968311165,-5.006167316189206,-9.415759091811445,-10.613447772652624,-0.45590051311290153,31
2025-04,3.36172889547543,4,9,66.66666666666666,3.3264206769390467,3.2580882674107787,3.5308218536383302,10.364062806465096,7.144077273051906,20.97009382556464,0.21421080916880877,30
2025-05,3.241854364831351,3,9,77.77777777777779,3.201513730409264,3.174213507314806,4.034063442208691,6.764085751654464,8.228870497303635,13.79769715583513,0.6197263111170096,31
2025-06,3.2501403320221014,1,9,100.0,3.0467666721556115,3.0655647905489873,20.337365986649,18.457554147311427,39.76878868274973,36.09290263875446,3.9948560280786887,30
2025-07,3.0691210514450638,4,9,66.66666666666666,3.0248016404324245,3.041998037159916,4.431941101263916,2.7123014285147793,8.854479202010518,5.418848319423418,0.7448833782725505,31
